name,area,description,detail,image_url,image_urls,lat,lon,tags,is_indoor,weather_ok,price,opening_hours,,weather_sutability,highlights
ミッドランドスクエア 屋外展望台スカイプロムナード,meieki,名古屋・ミッドランドスクエアの最上階にある屋外展望台で、360°の大パノラマが楽しめる人気スポット。,「スカイプロムナード」は、名古屋駅すぐそばの ミッドランドスクエア の最上階にある屋外展望台で、開放感あふれる大パノラマビューが楽しめるスポット。地上220mを超える高さからは、名古屋市街のランドマークや遠くの山並みまで見渡せ、晴れた日は名古屋の街並みがぐるっと一望できるよ。,/meieki/m1-1.png,"/meieki/m1-1.png,/meieki/m1-2.png,/meieki/m1-3.png",35.17096,136.88154,photo,FALSE,FALSE,大人1000円 シルバー500円 中高生500円 小学生300円,11:00-22:00,,晴れ： 名古屋の街並みを一望しながら開放的に楽しめる｜くもり： 人が少なめで落ち着いて景色を眺めやすい｜雨： 屋外のため天候が悪い日は利用は不向き,"名駅周辺を一望でき、非日常感が味わえる！,昼と夜で景色の雰囲気が変わる！"
ミッドランドスクエア シネマ,meieki,名古屋駅直結のミッドランドスクエア内にある、設備が充実した上質な映画館,ミッドランドスクエア シネマは、名古屋駅直結の複合施設「ミッドランドスクエア」内にある映画館で、アクセスの良さと快適な鑑賞環境が魅力のスポット。雨の日でも濡れずに行ける立地で、仕事帰りや買い物のついでにも立ち寄りやすいよ。,/meieki/m2-1.png,/meieki/m2-2.png,35.1709,136.8815,date,TRUE,TRUE,一般2000円 大学生1500円 学生(小〜高)1000円 幼児(3歳〜)1000円 ,8:00-24:00　※上映スケジュールによる,,晴れ： 外出ついでに映画鑑賞を組み込みやすい｜くもり： 天候を気にせず予定に入れやすい｜雨： 屋内施設のため雨の日でも快適に過ごせる,"天気に左右されず安心！,一人でも入りやすい"
JRセントラルタワーズ・JRゲートタワー,meieki,名古屋駅直結の大型複合施設で、買い物・食事・オフィスが集まるランドマーク。,JRセントラルタワーズは、名古屋駅の真上に位置する高層複合施設で、百貨店、レストラン、オフィス、ホテルが集まる名古屋を代表するスポット。地下から上層階まで商業施設が充実しており、ショッピングや食事、待ち合わせまで幅広く使えるよ。駅直結のため天候を気にせず移動でき、観光客だけでなく地元の人にも日常的に利用されているのが特徴。,/meieki/m3-1.png,"/meieki/m2-1.png,/meieki/m3-2.png",35.1709,136.8815,shopping,TRUE,TRUE,なし,10:00-23:00　※店舗による,,晴れ： 駅周辺を散策しながらショッピングを楽しめる｜くもり： 人通りが落ち着き、回遊しやすい｜雨： 屋内中心で天候を気にせず利用できる,"お店の種類が多くて飽きにくい！,ご飯も買い物も一気にできる！"
柳橋中央市場,meieki,名古屋駅近くにある、鮮魚や食材、飲食店が集まる活気ある市場。,柳橋中央市場は、名古屋駅から徒歩圏内にある歴史ある市場で、鮮魚を中心に青果・精肉・乾物など多彩な食材がそろうスポット。市場内には一般客も利用できる飲食店が点在しており、新鮮な魚を使ったランチや海鮮丼を楽しめるのが魅力だよ。朝は仕入れに訪れる人でにぎわい、昼以降は観光や食べ歩き目的の人も多く、時間帯によって雰囲気が変わるのも特徴。,/meieki/m4-1.png,"/meieki/m4-1.png,/meieki/m4-2.png",35.16984,136.88712,food,FALSE,FALSE,なし,4:00-10:00,,晴れ： 朝の街歩きとあわせて立ち寄りやすい｜くもり： 歩きやすく市場散策にちょうどいい｜雨： 半屋内だが足元が悪くなるため注意が必要,"ローカル感があって旅気分！,美味しいご飯に出会える！"
KITTE名古屋,meieki,名古屋駅直結で、買い物や食事、展示スペースまで楽しめる複合商業施設,KITTE名古屋は、名古屋駅直結の「JPタワー名古屋」内にある商業施設で、ファッション・雑貨・レストラン・カフェなどがバランスよくそろったスポット。館内には日本郵便の歴史や文化に触れられる展示スペースもあり、買い物だけでなく“見る・知る”楽しみもあるのが特徴だよ。,/meieki/m5-1.png,"/meieki/m5-1.png,/meieki/m5-2.png",35.17067,136.8849,slow,TRUE,TRUE,なし,7:00-23:00　※各店舗による,,晴れ： 駅周辺散策とあわせて立ち寄りやすい｜くもり： 落ち着いて買い物や食事を楽しめる｜雨： 屋内施設のため天候を気にせず利用できる,"綺麗で落ち着く空間,ふらっと寄って気分転換できる！"
ノリタケの森,meieki,名古屋駅近くにある、緑と文化が調和した開放的な複合施設。,ノリタケの森は、名古屋市西区にある陶磁器メーカー「ノリタケ」の旧工場跡地を整備した複合施設。広い敷地内には芝生や散策路が広がり、都会にいながら自然を感じられるのが魅力だよ。園内にはクラフト体験やミュージアム、ショップ、レストランやカフェも併設されていて、散歩だけでなく食事やものづくり体験も楽しめる。,/meieki/m6-1.png,"/meieki/m6-1.png,/meieki/m6-2.png,/meieki/m6-3.png",35.18233,136.87399,relax,FALSE,FALSE,なし,10:00-17:00,,晴れ： 自然の中を散策しながらゆったり過ごせる｜くもり： 涼しく歩きやすく写真撮影もしやすい｜雨： 屋外中心のため利用はやや不向き,"景色がきれいで気分転換になる！,写真を撮りたくなるところが多い"
近鉄パッセ,meieki,名古屋駅直結で、ファッションや雑貨、コスメがそろう便利な商業施設。,近鉄パッセは、名古屋駅直結の近鉄名古屋駅の上にある商業施設で、若者向けから大人向けまで幅広いジャンルのショップが集まるスポット。ファッション、コスメ、雑貨、カフェなどがコンパクトにまとまっていて、短時間でも効率よく買い物を楽しめるのが特徴だよ。,/meieki/m7-1.png,"/meieki/m7-1.png,/meieki/m7-2.png,",35.17047,136.88406,after_school,TRUE,TRUE,なし,10:00-20:00,,晴れ： 名駅周辺の買い物ついでに立ち寄りやすい｜くもり： 天候を気にせず短時間利用しやすい｜雨： 屋内のため雨の日でも快適に利用できる,"放課後に立ち寄りやすい,サクッと気分転換できる！　"
トヨタ産業記念館,meieki,トヨタのものづくりの歴史と技術を体験的に学べる、大規模な産業ミュージアム。,トヨタ産業技術記念館は、名古屋市西区にあるトヨタグループの原点と技術の進化を紹介するミュージアム。かつての工場建物を活かした広い館内では、繊維機械から自動車技術まで、実物展示や映像、体験型展示を通して「ものづくり」の考え方を深く知ることができるよ。,/meieki/m8-1.png,"/meieki/m8-1.png,/meieki/m8-2.png,/meieki/m8-3.png",35.18904,136.87663,alone,TRUE,TRUE,大人1000円　大学生600円　中高生500円　小学生300円　65歳以上200円　未就学児無料,9:30-17:00,,晴れ： 周辺散策とあわせて文化体験を楽しめる｜くもり： 落ち着いて展示を見て回りやすい｜雨： 屋内施設のため天候を気にせず見学できる,"本物の機械展示が迫力あり！,体験コーナーが多くて楽しい！　"
大名古屋ビルヂング スカイガーデン,meieki,名古屋駅直結で、都会の景色と緑を楽しめる屋上庭園スポット。,大名古屋ビルヂング スカイガーデンは、名古屋駅前にある大名古屋ビルヂングの屋上に整備された開放的な庭園スペース。ビルの上とは思えないほど緑が広がり、名古屋駅周辺の高層ビル群を眺めながら、気軽にリフレッシュできるのが魅力だよ。昼は明るく開放的な雰囲気で休憩や待ち合わせに使いやすく、夜はライトアップされて落ち着いた空間に変わるため、仕事帰りやデートにもおすすめ。,/meieki/m9-1.png,"/meieki/m9-1.png,/meieki/m9-2.png",35.17054,136.88436,relax,FALSE,FALSE,無料,11:00-23:00,,晴れ： 屋上庭園で開放感を感じながら過ごせる｜くもり： 人が少なめでゆったり利用しやすい｜雨： 屋外のため天候が悪い日は利用は不向き,"駅近なのに開放感がある！,休憩スポットとして使いやすい！　"
ユニモール,meieki,名古屋駅と国際センター駅を結ぶ、雨の日でも快適な地下ショッピングモール。,ユニモールは、名古屋駅から国際センター駅まで続く地下街で、ファッション・雑貨・コスメ・カフェ・飲食店などがそろう便利なスポット。地下にあるため天候の影響を受けにくく、雨の日や暑い日でも快適に移動しながら買い物や食事を楽しめるのが魅力だよ。通路が広く歩きやすい設計で、通勤・通学の途中や待ち合わせ、短時間の買い物にも使いやすい。,/meieki/m10-1.png,"/meieki/m10-1.png,/meieki/m10-2.png",35.16998,136.88321,after_school,TRUE,TRUE,なし,10:00-21:30,,晴れ： 名駅周辺の移動や買い物に便利｜くもり： 快適に歩きやすく立ち寄りやすい｜雨： 地下街のため天候を気にせず利用できる,"雨でも安心して歩ける！,お店が多くて見て周りやすい！"
Blue Leaf Cafe,meieki,開放感のある空間が魅力のカフェ。外の景色を感じながら、落ち着いて過ごせる。,Blue Leaf Cafeは、自然光が入りやすい開放的なカフェ。店内は広々としており、一人でも入りやすく、会話や作業もしやすい雰囲気です。周辺には公園や商業施設が多く、散策や買い物の合間に立ち寄りやすい立地だよ。都会の中心にありながら、少し気持ちを落ち着けて過ごせる場所として、休憩や軽い作業にも向いるよ。,/meieki/m11-1.png,"/meieki/m11-1.png,/meieki/m11-2.png",35.1709,136.9086,study,TRUE,TRUE,1-1000円,10:00-21:00,,晴れ：明るい空間で気持ちよく休憩できる|くもり：外の景色をほどよく感じながら、落ち着いて会話や作業がしやすい|雨：屋内中心で天候を気にせず過ごせ、買い物途中のひと休みにちょうどいい,開放感のある空間、栄エリアで使いやすい立地
ナナちゃん人形,meieki,名駅のシンボル的存在。季節やイベントごとに衣装が変わる、大型マネキンの待ち合わせスポット。,ナナちゃん人形は、名古屋駅前・名鉄百貨店メンズ館前に立つ巨大マネキン。季節やキャンペーンに合わせて頻繁に衣装が変わるため、訪れるたびに違った表情を楽しめる。名駅というアクセス抜群の立地から、待ち合わせや街歩きのスタート地点としても定番。買い物やデートの途中に立ち寄りやすく、写真を撮るだけでも名古屋らしさを感じられるスポット。,/meieki/m13-1.png,"/meieki/m13-1.png,/meieki/m13-2.png",35.1706,136.8849,photo,TRUE,TRUE,なし,なし,,晴れ：明るい自然光で写真が撮りやすく、街歩きのスタートに最適|くもり：人通りが多くても撮影しやすく、落ち着いて立ち寄れる|雨：駅直結で屋根もあり、天候を気にせず待ち合わせや写真撮影ができる,
DRESSY CAFE,meieki,ドレスブランドが手がける、非日常感のあるおしゃれカフェ。写真も会話も楽しめる、名駅近くの映えスポット。,DRESSY CAFEは、ウェディングやドレスの世界観を取り入れた、華やかで特別感のあるカフェ。店内は洗練されたデザインで統一されており、日常から少し離れた気分を味わえる空間だよ。デートや友達とのお出かけ、写真を撮りたい日に立ち寄りやすいのも魅力。空間そのものが映えるので、カフェタイムを楽しみながら自然と写真も残せるスポットです。,/meieki/m12-1.png,"/meieki/m12-1.png,/meieki/m12-2.png,/meieki/m12-3.png",35.1707,136.8846,bias,TRUE,TRUE,1000-2000円,9:30-20:00,,晴れ：外出やショッピングの合間に、非日常感のある空間で気分を高められる|くもり：落ち着いた光の中で、写真や会話をゆっくり楽しみやすい|雨：屋内完結型で天候に左右されず、特別感のあるカフェ時間を過ごせる,"非日常感のある世界観,写真映えしやすい内装"